CN_Code,Description
02032911,0203 29 11 ---- Parti anteriori e loro pezzi
02032913,0203 29 13 ---- Lombate e loro pezzi
02032915,0203 29 15 ---- Pancette (ventresche) e loro pezzi
02032955,0203 29 55 ----- disossate
02032959,0203 29 59 ----- altre
02032990,0203 29 90 --- altre
02040000,"0204 Carni di animali delle specie ovina o caprina, fresche, refrigerate o congelate"
02041000,"0204 10 00 - Carcasse e mezzene di agnello, fresche o refrigerate"
02042100,"- altre carni di animali della specie ovina, fresche o refrigerate"
02042200,0204 22 -- in altri pezzi non disossati
02042210,0204 22 10 --- Busto o mezzo busto
02042230,0204 22 30 --- Costata e/o sella o mezza costata e/o mezza sella
02042250,0204 22 50 --- Coscia o mezza coscia
02042290,0204 22 90 --- altri
02042300,0204 23 00 -- disossate
02043000,"0204 30 00 - Carcasse e mezzene di agnello, congelate"
02044100,"- altre carni di animali della specie ovina, congelate"
02044200,"0204 42 -- in altri pezzi, non disossate"
02044210,0204 42 10 --- Busto o mezzo busto
02044230,0204 42 30 --- Costata e/o sella o mezza costata e/o mezza sella
02044250,0204 42 50 --- Coscia o mezza coscia
02044290,0204 42 90 --- altre
02044300,0204 43 -- disossate
02044310,0204 43 10 --- di agnello
02044390,0204 43 90 --- altre
02045000,0204 50 - Carni di animali della specie caprina
02045011,0204 50 11 --- Carcasse o mezzene
02045013,0204 50 13 --- Busto o mezzo busto
02045015,0204 50 15 --- Costata e/o sella o mezza costata e/o mezza sella
02045019,0204 50 19 --- Coscia o mezza coscia
02045031,0204 50 31 ---- Pezzi non disossati
02045039,0204 50 39 ---- Pezzi disossati
02045051,0204 50 51 --- Carcasse o mezzene
02045053,0204 50 53 --- Busto o mezzo busto
02045055,0204 50 55 --- Costata e/o sella o mezza costata e/o mezza sella
02045059,0204 50 59 --- Coscia o mezza coscia
02045071,0204 50 71 ---- Pezzi non disossati
02045079,0204 50 79 ---- Pezzi disossati
02050000,"0205 00 Carne di cavallo, asino, mulo o bardotto, fresca, refrigerata o congelata"
02050020,0205 00 20 - fresca o refrigerata
02050080,0205 00 80 - congelata
02060000,"0206 Frattaglie commestibili di animali delle specie bovina, suina, ovina, caprina, equina, asinina o mulesca, fresche, refrigerate o congelate"
02061000,"0206 10 - della specie bovina, fresche o refrigerate"
02061010,0206 10 10 -- destinate alla fabbricazione di prodotti farmaceutici
02061095,0206 10 95 --- lombatello sottile e lombatello
02061098,0206 10 98 --- altre
02062100,"- della specie bovina, congelate"
02062200,0206 22 00 -- Fegati
02062900,0206 29 -- altre
02062910,0206 29 10 --- destinate alla fabbricazione di prodotti farmaceutici
02062991,0206 29 91 ---- lombatello sottile e lombatello
02062999,0206 29 99 ---- altre
02063000,"0206 30 00 - della specie suina, fresche o refrigerate"
02064100,"- della specie suina, congelate"
02064900,0206 49 00 -- altre
02068000,"0206 80 - altre, fresche o refrigerate"
02068010,0206 80 10 -- destinate alla fabbricazione di prodotti farmaceutici
02068091,"0206 80 91 --- di cavalli, asini, muli e bardotti"
02068099,0206 80 99 --- delle specie ovina o caprina
02069000,"0206 90 - altre, congelate"
02069010,0206 90 10 -- destinate alla fabbricazione di prodotti farmaceutici
02069091,"0206 90 91 --- di cavalli, asini, muli e bardotti"
02069099,0206 90 99 --- delle specie ovina o caprina
02070000,"0207 Carni e frattaglie commestibili, fresche, refrigerate o congelate, di volatili della voce 0105"
02071100,- di galli e di galline della specie Gallus domesticus
