CN_Code,Description
20091998,2009 19 98 ---- altri
20092100,2009 21 00 -- di un valore Brix inferiore o uguale a 20
20092900,2009 29 -- altri
20092911,2009 29 11 ---- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20092919,2009 29 19 ---- altri
20092991,"2009 29 91 ---- di valore inferiore o uguale a 30 € per 100 kg di peso netto e aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20092999,2009 29 99 ---- altri
20093100,2009 31 -- di un valore Brix inferiore o uguale a 20
20093111,--- di valore superiore a 30 € per 100 kg di peso netto
20093119,2009 31 19 ---- senza zuccheri addizionati
20093151,--- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20093159,2009 31 59 ----- senza zuccheri addizionati
20093191,2009 31 91 ----- contenenti zuccheri addizionati
20093199,2009 31 99 ----- senza zuccheri addizionati
20093900,2009 39 -- altri
20093911,2009 39 11 ---- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20093919,2009 39 19 ---- altri
20093931,--- di un valore Brix superiore a 20 e inferiore o uguale a 67
20093939,2009 39 39 ----- senza zuccheri addizionati
20093951,"2009 39 51 ------ aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20093955,"2009 39 55 ------ aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20093959,2009 39 59 ------ senza zuccheri addizionati
20093991,"2009 39 91 ------ aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20093995,"2009 39 95 ------ aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20093999,2009 39 99 ------ senza zuccheri addizionati
20094100,2009 41 -- di un valore Brix inferiore o uguale a 20
20094192,2009 41 92 --- contenenti zuccheri addizionati
20094199,2009 41 99 --- senza zuccheri addizionati
20094900,2009 49 -- altri
20094911,2009 49 11 ---- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20094919,2009 49 19 ---- altri
20094930,"2009 49 30 ---- di valore superiore a 30 € per 100 kg di peso netto, contenenti zuccheri addizionati"
20094991,"2009 49 91 ----- aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20094993,"2009 49 93 ----- aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20094999,2009 49 99 ----- senza zuccheri addizionati
20095000,2009 50 - Succo di pomodoro
20095010,2009 50 10 -- con zuccheri addizionati
20095090,2009 50 90 -- altri
20096100,2009 61 -- di un valore Brix inferiore o uguale a 30
20096110,2009 61 10 --- di valore superiore a 18 € per 100 kg di peso netto
20096190,2009 61 90 --- di valore inferiore o uguale a 18 € per 100 kg di peso netto
20096900,2009 69 -- altri
20096911,2009 69 11 ---- di valore inferiore o uguale a 22 € per 100 kg di peso netto
20096919,2009 69 19 ---- altri
20096951,--- di un valore Brix superiore a 30 e inferiore o uguale a 67
20096959,2009 69 59 ----- altri
20096971,"----- aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20096979,2009 69 79 ------ altri
20096990,2009 69 90 ----- altri
20097100,2009 71 -- di un valore Brix inferiore o uguale a 20
20097120,2009 71 20 --- contenenti zuccheri addizionati
20097199,2009 71 99 --- senza zuccheri addizionati
20097900,2009 79 -- altri
20097911,2009 79 11 ---- di valore inferiore o uguale a 22 € per 100 kg di peso netto
20097919,2009 79 19 ---- altri
20097930,"2009 79 30 ---- di valore superiore a 18 € per 100 kg di peso netto, con zuccheri addizionati"
20097991,"2009 79 91 ----- aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20097998,2009 79 98 ----- altri
20098100,"2009 81 -- Succo di mirtilli rossi americani e di mirtilli palustri (Vaccinium macrocarpon, Vaccinium oxycoccos); succo di mirtilli rossi (Vaccinium vitis-idaea)"
20098111,2009 81 11 ---- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20098119,2009 81 19 ---- altri
20098131,"2009 81 31 ---- di valore superiore a 30 € per 100 kg di peso netto, con zuccheri addizionati"
20098151,"2009 81 51 ----- aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20098159,"2009 81 59 ----- aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20098195,2009 81 95 ------ Succhi di frutta della specie Vaccinium macrocarpon
20098199,2009 81 99 ------ altri
20098900,2009 89 -- altri
20098911,2009 89 11 ----- di valore inferiore o uguale a 22 € per 100 kg di peso netto
20098919,2009 89 19 ----- altri
20098934,----- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20098935,2009 89 35 ------ altri
20098936,2009 89 36 ------ Succhi di frutta tropicale
20098938,2009 89 38 ------ altri
20098950,"2009 89 50 ----- di valore superiore a 18 € per 100 kg di peso netto, con zuccheri addizionati"
20098961,"2009 89 61 ------ aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20098963,"2009 89 63 ------ aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20098969,2009 89 69 ------ senza zuccheri addizionati
20098971,"----- di valore superiore a 30 € per 100 kg di peso netto, con zuccheri addizionati"
20098973,2009 89 73 ------ Succhi di frutta tropicale
20098979,2009 89 79 ------ altri
20098985,"------ aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20098986,2009 89 86 ------- altri
20098988,"------ aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20098989,2009 89 89 ------- altri
20098996,2009 89 96 ------- Succo di ciliege
20098997,2009 89 97 ------- Succhi di frutta tropicale
20098999,2009 89 99 ------- altri
20099000,2009 90 - Miscugli di succhi
20099011,2009 90 11 ---- di valore inferiore o uguale a 22 € per 100 kg di peso netto
20099019,2009 90 19 ---- altri
20099021,2009 90 21 ---- di valore inferiore o uguale a 30 € per 100 kg di peso netto
20099029,2009 90 29 ---- altri
20099031,"2009 90 31 ---- di valore inferiore o uguale a 18 € per 100 kg di peso netto ed aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20099039,2009 90 39 ---- altri
20099041,----- Miscugli di succhi di agrumi e di succo di ananasso
20099049,2009 90 49 ------ altri
20099051,2009 90 51 ------ con zuccheri addizionati
20099059,2009 90 59 ------ altri
20099071,"2009 90 71 ------ aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20099073,"2009 90 73 ------ aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20099079,2009 90 79 ------ senza zuccheri addizionati
20099092,"------ aventi tenore, in peso, di zuccheri addizionati superiore a 30 %"
20099094,2009 90 94 ------- altri
20099095,"------ aventi tenore, in peso, di zuccheri addizionati inferiore o uguale a 30 %"
20099096,2009 90 96 ------- altri
20099097,2009 90 97 ------- Miscugli di succhi di frutta tropicale
20099098,2009 90 98 ------- altri
21002100,CAPITOLO 21 - PREPARAZIONI ALIMENTARI DIVERSE
21010000,"2101 Estratti, essenze e concentrati di caffè, di tè o di mate e preparazioni a base di questi prodotti o a base di caffè, tè o mate; cicoria torrefatta ed altri succedanei torrefatti del caffè e loro estratti, essenze e concentrati"
21011100,"- Estratti, essenze e concentrati di caffè e preparazioni a base di questi estratti, essenze o concentrati, o a base di caffè"
21011200,"2101 12 -- Preparazioni a base di estratti, essenze o concentrati, o a base di caffè"
21011292,"2101 12 92 --- Preparazioni a base di estratti, essenze o concentrati di caffè"
21011298,2101 12 98 --- altri
21012000,"2101 20 - Estratti, essenze e concentrati di tè o di mate e preparazioni a base di questi estratti, essenze o concentrati, o a base di tè o di mate"
21012020,"2101 20 20 -- Estratti, essenze e concentrati"
21012092,"2101 20 92 --- a base di estratti, di essenze o di concentrati a base di tè o di mate"
21012098,2101 20 98 --- altri
21013000,"2101 30 - Cicoria torrefatta ed altri succedanei torrefatti del caffè e loro estratti, essenze e concentrati"
21013011,-- Cicoria torrefatta ed altri succedanei torrefatti del caffè
21013019,2101 30 19 --- altri
21013091,"-- Estratti, essenze e concentrati di cicoria torrefatta e di altri succedanei torrefatti del caffè"
21013099,2101 30 99 --- altri
21020000,"2102 Lieviti (vivi o morti); altri microrganismi monocellulari morti (esclusi i vaccini della voce 3002); lieviti in polvere, preparati"
21021000,2102 10 - Lieviti vivi
21021010,2102 10 10 -- Lieviti madre selezionati (lieviti di coltura)
21021031,-- Lieviti di panificazione
21021039,2102 10 39 --- altri
21021090,2102 10 90 -- altri
21022000,2102 20 - Lieviti morti; altri microrganismi monocellulari morti
21022011,"2102 20 11 --- in tavolette, cubi o presentazioni simili, od anche in imballaggi immediati di contenuto netto di 1 kg o meno"
21022019,2102 20 19 --- altri
21022090,2102 20 90 -- altri
21023000,2102 30 00 - Lieviti in polvere preparati
21030000,2103 Preparazioni per salse e salse preparate; condimenti composti; farina di senape e senape preparata
21031000,2103 10 00 - Salsa di soia
21032000,2103 20 00 - Salsa Ketchup ed altre salse al pomodoro
21033000,2103 30 - Farina di senape e senape preparata
21033010,2103 30 10 -- Farina di senape
21033090,2103 30 90 -- Senape preparata
21039000,2103 90 - altri
21039010,2103 90 10 -- Chutney di mango liquido
21039030,"2103 90 30 -- Amari aromatici, con titolo alcolometrico uguale o superiore a 44,2 % vol e inferiore o uguale a 49,2 % vol e contenenti da 1,5 % a 6 %, in peso, di genziana, di spezie e di ingredienti vari, da 4 % a 10 % di zuccheri e presentati in recipienti di capacità inferiore o uguale a 0,50 litri"
21039090,2103 90 90 -- altri
21040000,"2104 Preparazioni per zuppe, minestre o brodi; zuppe, minestre o brodi, preparati; preparazioni alimentari composte omogeneizzate"
21041000,"2104 10 00 - Preparazioni per zuppe, minestre o brodi; zuppe, minestre o brodi, preparati"
21042000,2104 20 00 - Preparazioni alimentari composte omogeneizzate
21050000,"2105 00 Gelati, anche contenenti cacao"
21050010,"2105 00 10 - non contenenti o contenenti, in peso, meno di 3 % di materie grasse provenienti dal latte"
21050091,"- aventi tenore, in peso, di materie grasse provenienti dal latte"
21050099,2105 00 99 -- uguale o superiore a 7 %
21060000,2106 Preparazioni alimentari non nominate né comprese altrove
21061000,2106 10 - Concentrati di proteine e sostanze proteiche testurizzate
21061020,"2106 10 20 -- non contenenti materie grasse provenienti dal latte, né saccarosio, né isoglucosio, né glucosio, né amido o fecola, o contenenti, in peso meno di 1,5 % di materie grasse provenienti dal latte, meno di 5 % di saccarosio o d'isoglucosio, meno di 5 % di glucosio o di amido o fecola"
21061080,2106 10 80 -- altri
21069000,2106 90 - altre
21069020,"2106 90 20 -- Preparazioni alcoliche composte, diverse da quelle a base di sostanze odorifere, dei tipi utilizzati per la fabbricazione di bevande"
21069030,"-- Sciroppi di zucchero, aromatizzati o colorati"
21069051,2106 90 51 ---- di lattosio
21069055,2106 90 55 ---- di glucosio o di maltodestrina
21069059,2106 90 59 ---- altri
21069092,"2106 90 92 --- non contenenti materie grasse provenienti dal latte, né saccarosio, né isoglucosio, né glucosio, né amido o fecola, o contenenti in peso meno di 1,5 % di materie grasse provenienti dal latte, meno di 5 % di saccarosio o d'isoglucosio, meno di 5 % di glucosio o di amido o fecola"
21069098,2106 90 98 --- altre
22002100,"CAPITOLO 22 - BEVANDE, LIQUIDI ALCOLICI ED ACETI"
22010000,"2201 Acque, comprese le acque minerali naturali o artificiali e le acque gassate, senza aggiunta di zuccheri o di altri dolcificanti né di aromatizzanti; ghiaccio e neve"
22011000,2201 10 - Acque minerali e acque gassate
22011011,2201 10 11 --- senza diossido di carbonio
22011019,2201 10 19 --- altre
22011090,2201 10 90 -- altre
22019000,2201 90 00 - altre
22020000,"2202 Acque, comprese le acque minerali e le acque gassate, con aggiunta di zucchero o di altri dolcificanti o di aromatizzanti, ed altre bevande non alcoliche, esclusi i succhi di frutta, di frutta a guscio o di ortaggi e legumi della voce 2009"
22021000,"2202 10 00 - Acque, comprese le acque minerali e le acque gassate, con aggiunta di zucchero o di altri dolcificanti o di aromatizzanti"
22029100,2202 91 00 -- Birra analcolica
22029900,2202 99 -- altre
22029911,--- non contenenti prodotti delle voci da 0401 a 0404 o materie grasse provenienti dai prodotti delle voci da 0401 a 0404
22029915,"2202 99 15 ---- Bevande a base di soia con contenuto proteico inferiore al 2,8% in peso; bevande a base di frutta a guscio di cui al capitolo 08, di cereali di cui al capitolo 10 o di semi di cui al capitolo 12"
22029919,2202 99 19 ---- altre
22029991,"--- altre, aventi tenore, in peso, di materie grasse provenienti dai prodotti delle voci da 0401 a 0404"
22029995,"2202 99 95 ---- uguale o superiore a 0,2 % e inferiore a 2 %"
22029999,2202 99 99 ---- uguale o superiore a 2 %
22030000,2203 00 Birra di malto
22030001,- in recipienti di capacità uguale o inferiore a 10 litri
22030009,2203 00 09 -- altra
22030010,2203 00 10 - in recipienti di capacità superiore a 10 litri
22040000,"2204 Vini di uve fresche, compresi i vini arricchiti d'alcole; mosti di uva, diversi da quelli della voce 2009"
22041000,2204 10 - Vini spumanti
22041011,-- Vini a denominazione d'origine protetta (DOP)
22041013,2204 10 13 --- Cava
22041015,2204 10 15 --- Prosecco
22041091,2204 10 91 --- Asti spumante
22041093,2204 10 93 --- altri
22041094,2204 10 94 -- Vini a indicazione geografica protetta (IGP)
22041096,2204 10 96 -- altri vini varietali
22041098,2204 10 98 -- altri
22042100,- altri vini; mosti di uva la cui fermentazione è stata impedita o fermata con l'aggiunta d'alcole (mistelle)
22042106,"--- Vini, diversi da quelli indicati nella sottovoce 220410, presentati in bottiglie chiuse con un tappo a forma di fungo tenuto da fermagli o legacci; vini altrimenti presentati aventi, alla temperatura di 20 °C, una sovrappressione dovuta all'anidride carbonica in soluzione, non inferiore a 1 bar e inferiore a 3 bar"
22042107,2204 21 07 ---- Vini a indicazione geografica protetta (IGP)
22042108,2204 21 08 ---- altri vini varietali
22042109,2204 21 09 ---- altri
22042111,----- con titolo alcolometrico effettivo inferiore o uguale a 15 % vol
22042112,2204 21 12 -------- Bordeaux
22042113,2204 21 13 -------- Bourgogne
22042117,2204 21 17 -------- Val de Loire (Valle della Loira)
22042118,2204 21 18 -------- Mosel
22042119,2204 21 19 -------- Pfalz
22042122,2204 21 22 -------- Rheinhessen
22042123,2204 21 23 -------- Tokaj
22042124,2204 21 24 -------- Lazio
22042126,2204 21 26 -------- Toscana
22042127,2204 21 27 -------- Trentino-Alto Adige e Friuli
22042128,2204 21 28 -------- Veneto
22042131,2204 21 31 -------- Sicilia
22042132,2204 21 32 -------- Vinho Verde
22042134,2204 21 34 -------- Penedès
22042136,2204 21 36 -------- Rioja
22042137,2204 21 37 -------- Valencia
22042138,2204 21 38 -------- altri
22042142,2204 21 42 -------- Bordeaux
22042143,2204 21 43 -------- Bourgogne
22042144,2204 21 44 -------- Beaujolais
22042146,2204 21 46 -------- Vallée du Rhône (Valle del Rodano)
22042147,2204 21 47 -------- Languedoc-Roussillon
22042148,2204 21 48 -------- Val de Loire (Valle della Loira)
22042161,2204 21 61 -------- Sicilia
22042162,2204 21 62 -------- Piemonte
22042166,2204 21 66 -------- Toscana
22042167,2204 21 67 -------- Trentino e Alto Adige
22042168,2204 21 68 -------- Veneto
22042169,"2204 21 69 -------- Dão, Bairrada e Douro"
22042171,2204 21 71 -------- Navarra
22042174,2204 21 74 -------- Penedès
22042176,2204 21 76 -------- Rioja
22042177,2204 21 77 -------- Valdepeñas
22042178,2204 21 78 -------- altri
22042179,------ Vini a indicazione geografica protetta (IGP)
22042180,2204 21 80 ------- altri
22042181,2204 21 81 ------- Vini bianchi
22042182,2204 21 82 ------- altri
22042183,2204 21 83 ------- Vini bianchi
22042184,2204 21 84 ------- altri
22042185,------ Vini a denominazione d'origine protetta (DOP) o vini a indicazione geografica protetta (IGP)
22042186,2204 21 86 ------- Vino di Xeres
22042187,2204 21 87 ------- Vino di Marsala
22042188,2204 21 88 ------- Vino di Samos e moscato di Lemnos
22042189,2204 21 89 ------- Vino di Porto
22042190,2204 21 90 ------- altri
22042191,2204 21 91 ------ altri
22042193,----- Vini a denominazione d'origine protetta (DOP) o vini a indicazione geografica protetta (IGP)
22042194,2204 21 94 ------ altri
22042195,2204 21 95 ------ Vini bianchi
22042196,2204 21 96 ------ altri
22042197,2204 21 97 ------ Vini bianchi
22042198,2204 21 98 ------ altri
22042200,2204 22 -- In recipienti di capacità superiore a 2 litri ma uguale o inferiore a 10 litri
22042210,"2204 22 10 --- Vini, diversi da quelli indicati nella sottovoce 220410, presentati in bottiglie chiuse con un tappo a forma di fungo tenuto da fermagli o legacci; vini altrimenti presentati aventi, alla temperatura di 20 °C, una sovrappressione dovuta all'anidride carbonica in soluzione, non inferiore a 1 bar e inferiore a 3 bar"
22042222,----- con titolo alcolometrico effettivo inferiore o uguale a 15 % vol
22042223,2204 22 23 ------- Bourgogne
22042224,2204 22 24 ------- Beaujolais
22042226,2204 22 26 ------- Vallée du Rhône (Valle del Rodano)
22042227,2204 22 27 ------- Languedoc-Roussillon
22042228,2204 22 28 ------- Val de Loire (Valle della Loira)
22042232,2204 22 32 ------- Piemonte
22042233,2204 22 33 ------- Tokaj
22042238,2204 22 38 -------- Vini bianchi
22042278,2204 22 78 -------- altri
22042279,------ Vini a indicazione geografica protetta (IGP)
22042280,2204 22 80 ------- altri
22042281,2204 22 81 ------- Vini bianchi
22042282,2204 22 82 ------- altri
22042283,2204 22 83 ------- Vini bianchi
22042284,2204 22 84 ------- altri
22042285,------ Vini a denominazione d'origine protetta (DOP) o vini a indicazione geografica protetta (IGP)
22042286,2204 22 86 ------- Vino di Xeres
22042288,2204 22 88 ------- Vino di Samos e moscato di Lemnos
22042290,2204 22 90 ------- altri
22042291,2204 22 91 ------ altri
22042293,----- Vini a denominazione d'origine protetta (DOP) o vini a indicazione geografica protetta (IGP)
22042294,2204 22 94 ------ altri
22042295,2204 22 95 ------ Vini bianchi
22042296,2204 22 96 ------ altri
22042297,2204 22 97 ------ Vini bianchi
22042298,2204 22 98 ------ altri
22042900,2204 29 -- altri
22042910,"2204 29 10 --- Vini, diversi da quelli indicati nella sottovoce 220410, presentati in bottiglie chiuse con un tappo a forma di fungo tenuto da fermagli o legacci; vini altrimenti presentati aventi, alla temperatura di 20 °C, una sovrappressione dovuta all'anidride carbonica in soluzione, non inferiore a 1 bar e inferiore a 3 bar"
22042922,----- con titolo alcolometrico effettivo inferiore o uguale a 15 % vol
22042923,2204 29 23 ------- Bourgogne
22042924,2204 29 24 ------- Beaujolais
22042926,2204 29 26 ------- Vallée du Rhône (Valle del Rodano)
22042927,2204 29 27 ------- Languedoc-Roussillon
22042928,2204 29 28 ------- Val de Loire (Valle della Loira)
22042932,2204 29 32 ------- Piemonte
22042938,2204 29 38 -------- Vini bianchi
22042978,2204 29 78 -------- altri
22042979,------ Vini a indicazione geografica protetta (IGP)
22042980,2204 29 80 ------- altri
22042981,2204 29 81 ------- Vini bianchi
22042982,2204 29 82 ------- altri
22042983,2204 29 83 ------- Vini bianchi
22042984,2204 29 84 ------- altri
22042985,------ Vini a denominazione d'origine protetta (DOP) o vini a indicazione geografica protetta (IGP)
22042986,2204 29 86 ------- Vino di Xeres
22042988,2204 29 88 ------- Vino di Samos e moscato di Lemnos
22042990,2204 29 90 ------- altri
22042991,2204 29 91 ------ altri
22042993,----- Vini a denominazione d'origine protetta (DOP) o vini a indicazione geografica protetta (IGP)
22042994,2204 29 94 ------ altri
22042995,2204 29 95 ------ Vini bianchi
22042996,2204 29 96 ------ altri
22042997,2204 29 97 ------ Vini bianchi
22042998,2204 29 98 ------ altri
22043000,2204 30 - altri mosti di uva
22043010,"2204 30 10 -- parzialmente fermentati, anche mutizzati diversamente che con alcole"
22043092,"--- con massa volumica inferiore o uguale a 1,33 g/cm3 a 20 °C e con titolo alcolometrico effettivo inferiore o uguale a 1 % vol"
22043094,2204 30 94 ---- altri
22043096,2204 30 96 ---- concentrati
22043098,2204 30 98 ---- altri
22050000,2205 Vermut ed altri vini di uve fresche preparati con piante o con sostanze aromatiche
22051000,2205 10 - in recipienti di capacità inferiore o uguale a 2 litri
22051010,2205 10 10 -- con titolo alcolometrico effettivo inferiore o uguale a 18 % vol
22051090,2205 10 90 -- con titolo alcolometrico effettivo superiore a 18 % vol
22059000,2205 90 - altri
22059010,2205 90 10 -- con titolo alcolometrico effettivo inferiore o uguale a 18 % vol
22059090,2205 90 90 -- con titolo alcolometrico effettivo superiore a 18 % vol
22060000,"2206 00 Altre bevande fermentate (per esempio: sidro, sidro di pere, idromele, saké); miscugli di bevande fermentate e miscugli di bevande fermentate e di bevande non alcoliche, non nominati né compresi altrove"
22060010,2206 00 10 - Vinello
22060031,2206 00 31 --- Sidro e sidro di pere
22060039,2206 00 39 --- altri
22060051,"-- non spumanti, presentati in recipienti di capacità"
22060059,2206 00 59 ---- altri
22060081,2206 00 81 ---- Sidro e sidro di pere
22060089,2206 00 89 ---- altri
22070000,"2207 Alcole etilico non denaturato con titolo alcolometrico volumico uguale o superiore a 80 % vol; alcole etilico ed acquaviti, denaturati, di qualsiasi titolo"
22071000,2207 10 00 - Alcole etilico non denaturato con titolo alcolometrico volumico uguale o superiore a 80 % vol
22072000,"2207 20 00 - Alcole etilico ed acquaviti, denaturati, di qualsiasi titolo"
22080000,"2208 Alcole etilico non denaturato con titolo alcolometrico volumico inferiore a 80 % vol; acquaviti, liquori ed altre bevande contenenti alcole di distillazione"
22082000,2208 20 - Acquaviti di vino o di vinacce
22082012,-- presentate in recipienti di capacità inferiore o uguale a 2 litri
22082014,2208 20 14 ---- Armagnac
22082016,2208 20 16 ----- Brandy de Jerez
22082018,2208 20 18 ----- altre
22082019,2208 20 19 ---- altre
22082026,--- acquaviti di vinacce
22082028,2208 20 28 ---- altre
22082062,-- presentate in recipienti di capacità superiore a 2 litri
22082066,2208 20 66 ---- Brandy o Weinbrand
22082069,2208 20 69 ---- altre
22082086,--- acquaviti di vinacce
22082088,2208 20 88 ---- altre
22083000,2208 30 - Whisky
22083011,"-- Whisky detto Bourbon, presentato in recipienti di capacità"
22083019,2208 30 19 --- superiore a 2 litri
22083030,2208 30 30 --- Whisky detto single malt
22083041,"--- Whisky detto blended malt, presentato in recipienti di capacità"
22083049,2208 30 49 ---- superiore a 2 litri
22083061,"--- Whisky detto single grain e whisky detto blended grain, presentati in recipienti di capacità"
22083069,2208 30 69 ---- superiore a 2 litri
22083071,"--- Altro whisky detto blended, presentato in recipienti di capacità"
22083079,2208 30 79 ---- superiore a 2 litri
22083082,"-- altri, presentati in recipienti di capacità"
22083088,2208 30 88 --- superiore a 2 litri
22084000,2208 40 - Rum e altre acquaviti ottenuti mediante distillazione di derivati della canna da zucchero fermentati
22084011,2208 40 11 --- Rum con tenore di sostanze volatili diverse dall'alcole etilico e dall'alcole metilico uguale o superiore a 225 g per ettolitro di alcole puro (con tolleranza di 10 %)
22084031,"2208 40 31 ---- di valore superiore a 7,9 € per litro di alcole puro"
22084039,2208 40 39 ---- altri
22084051,2208 40 51 --- Rum con tenore di sostanze volatili diverse dall'alcole etilico e dall'alcole metilico uguale o superiore a 225 g per ettolitro di alcole puro (con tolleranza di 10 %)
22084091,2208 40 91 ---- di valore superiore a 2 € per litro di alcole puro
22084099,2208 40 99 ---- altri
22085000,2208 50 - Gin ed acquavite di ginepro (genièvre)
22085011,"-- Gin, presentato in recipienti di capacità"
22085019,2208 50 19 --- superiore a 2 litri
22085091,"-- Acquavite di ginepro (genièvre), presentata in recipienti di capacità"
22085099,2208 50 99 --- superiore a 2 litri
22086000,2208 60 - Vodka
22086011,"-- con titolo alcolometrico volumico inferiore o uguale a 45,4 % vol, presentate in recipienti di capacità"
22086019,2208 60 19 --- superiore a 2 litri
22086091,"-- con titolo alcolometrico volumico superiore a 45,4 % vol, presentate in recipienti di capacità"
22086099,2208 60 99 --- superiore a 2 litri
22087000,2208 70 - Liquori
22087010,2208 70 10 -- presentati in recipienti di capacità inferiore o uguale a 2 litri
22087090,2208 70 90 -- presentati in recipienti di capacità superiore a 2 litri
22089000,2208 90 - altri
22089011,"-- Arak, presentato in recipienti di capacità"
22089019,2208 90 19 --- superiore a 2 litri
22089033,"-- Acquaviti di prugne, di pere o di ciliegie, presentate in recipienti di capacità"
22089038,2208 90 38 --- superiore a 2 litri
22089041,"-- altre acquaviti, ed altre bevande contenenti alcole di distillazione, presentate in recipienti di capacità"
22089045,2208 90 45 ------- Calvados
22089048,2208 90 48 ------- altre
22089054,2208 90 54 ------- Tequila
22089056,2208 90 56 ------- altre
22089069,2208 90 69 ----- altre bevande contenenti alcole di distillazione
22089071,2208 90 71 ----- di frutta
22089075,2208 90 75 ----- Tequila
22089077,2208 90 77 ----- altre
22089078,2208 90 78 ---- altre bevande contenenti alcole di distillazione
22089091,"-- Alcole etilico non denaturato con titolo alcolometrico volumico inferiore a 80 % vol, presentato in recipienti di capacità"
22089099,2208 90 99 --- superiore a 2 litri
22090000,2209 00 Aceti commestibili e loro succedanei commestibili ottenuti dall'acido acetico
22090011,"- Aceto di vino, presentato in recipienti di capacità"
22090019,2209 00 19 -- superiore a 2 litri
22090091,"- altri, presentati in recipienti di capacità"
22090099,2209 00 99 -- superiore a 2 litri
23002100,CAPITOLO 23 - RESIDUI E CASCAMI DELLE INDUSTRIE ALIMENTARI; ALIMENTI PREPARATI PER GLI ANIMALI
23010000,"2301 Farine, polveri e agglomerati in forma di pellets, di carni, di frattaglie, di pesci o di crostacei, di molluschi o di altri invertebrati acquatici, non adatti all'alimentazione umana; ciccioli"
23011000,"2301 10 00 - Farine, polveri e agglomerati in forma di pellets, di carni o di frattaglie; ciccioli"
23012000,"2301 20 00 - Farine, polveri e agglomerati in forma di pellets, di pesci o di crostacei, di molluschi o di altri invertebrati acquatici"
23020000,"2302 Crusche, stacciature ed altri residui, anche agglomerati in forma di pellets, della vagliatura, della molitura o di altre lavorazioni dei cereali o dei legumi"
23021000,2302 10 - di granturco
23021010,"2302 10 10 -- aventi tenore, in peso, di amido inferiore o uguale a 35 %"
23021090,2302 10 90 -- altri
23023000,2302 30 - di frumento
23023010,"2302 30 10 -- aventi tenore, in peso, di amido inferiore o uguale a 28 %, e la cui proporzione di prodotto che passa attraverso un setaccio di larghezza di maglie pari a 0,2 mm non supera, in peso, 10 %, oppure, nel caso contrario, il cui prodotto passato attraverso il setaccio ha un tenore di ceneri, calcolato sulla materia secca, uguale o superiore a 1,5 %"
23023090,2302 30 90 -- altri
23024000,2302 40 - di altri cereali
23024002,"2302 40 02 --- aventi tenore, in peso, di amido inferiore o uguale a 35 %"
23024008,2302 40 08 --- altri
23024010,"2302 40 10 --- aventi tenore, in peso, di amido inferiore o uguale a 28 %, e la cui proporzione di prodotto che passa attraverso un setaccio di larghezza di maglie pari a 0,2 mm non supera, in peso, 10 %, oppure, nel caso contrario, il cui prodotto passato attraverso il setaccio ha un tenore, in peso, di ceneri, calcolato sulla materia secca, uguale o superiore a 1,5 %"
23024090,2302 40 90 --- altri
23025000,2302 50 00 - di legumi
23030000,"2303 Residui della fabbricazione degli amidi e residui simili, polpe di barbabietole, cascami di canne da zucchero ed altri cascami della fabbricazione dello zucchero, avanzi della fabbricazione della birra o della distillazione degli alcoli, anche agglomerati in forma di pellets"
23031000,2303 10 - Residui della fabbricazione degli amidi e residui simili
23031011,"-- Residui della fabbricazione degli amidi di granturco (escluse le acque di macerazione concentrate), aventi tenore di proteine, calcolato sulla sostanza secca"
23031019,2303 10 19 --- uguale o inferiore a 40 % in peso
23031090,2303 10 90 -- altri
23032000,"2303 20 - Polpe di barbabietole, cascami di canne da zucchero esaurite ed altri cascami della fabbricazione dello zucchero"
23032010,2303 20 10 -- Polpe di barbabietole
23032090,2303 20 90 -- altri
23033000,2303 30 00 - Avanzi della fabbricazione della birra o della distillazione degli alcoli
23040000,"2304 00 00 Panelli e altri residui solidi, anche macinati o agglomerati in forma di pellets, derivanti dall’estrazione dell'olio di soia"
23050000,"2305 00 00 Panelli e altri residui solidi, anche macinati o agglomerati in forma di pellets, derivanti dall'estrazione dell'olio d'arachide"
