Installation ID,Permit ID,Operator,Installation name,Address,Allocations,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Allocation total (per installation) ,Unnamed: 11,Lat,Lon
IT-518,IT-A-765,EDIPOWER SPA,CENTRALE TERMOELETTRICA DI BRINDISI,"FORO BUONAPARTE, 31 - 20100 - MILANO (MI)",1330374.0,1253454.0,1179506.0,1111502.0,1043497.0,5918333.0,,45.4675304,9.1787643
IT-519,IT-A-766,AGUSTA S.p.A.,AGUSTA S.p.A.,"CONTRADA SANTA TERESA PINTI, s.n. - 72100 - BRINDISI (BR)",3999.0,3999.0,3999.0,3999.0,3999.0,19995.0,,40.6358599,17.6884975
IT-520,IT-A-767,POLIMERI EUROPA S.p.A,STABILIMENTO POLIMERI EUROPA DI BRINDISI,"Piazza BOLDRINI, 1 - 20097 - SAN DONATO MILANESE (MI)",14403.0,14403.0,14403.0,14403.0,14403.0,72015.0,,45.4248439,9.2533194
IT-521,IT-A-769,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI BRINDISI SUD,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",11044502.0,10360687.0,9714469.0,9143446.0,8572422.0,48835526.0,,41.919087,12.4988884
IT-522,IT-A-770,COLACEM SPA,GALATINA,"VIA DELLA VITTORINA, 60 - 06024 - GUBBIO (PG)",779033.0,779033.0,779033.0,779033.0,779033.0,3895165.0,,43.3517605,12.5772959
IT-523,IT-A-772,Fenice spa,centrale termoelettrica,"via Acqui, 86 - 10098 - RIVOLI (TO)",95519.0,95519.0,95519.0,95519.0,95519.0,477595.0,,45.06616,7.5611447
IT-524,IT-A-773,BG ITALIA POWER S.p.A.,CENTRALE DI COGENERAZIONE SERENE DI MELFI,"PIAZZA CAVOUR, 2 - 20121 - MILANO (MI)",64407.0,64407.0,64407.0,64407.0,143744.0,401372.0,,45.4723697,9.1956475
IT-525,IT-A-774,Ferriere Nord Spa,Ferriere Nord Spa - Stabilimento Siderpotenza - Potenza,"Zona Industriale Rivoli di Osoppo, nn - 33010 - OSOPPO (UD)",25568.0,25568.0,25568.0,25568.0,25568.0,127840.0,,46.2559997,13.0809181
IT-526,IT-A-778,ITALCEMENTI S.P.A.,CEMENTERIA DI MATERA,"CAMOZZI, 124 - 24100 - BERGAMO (BG)",438121.0,438121.0,438121.0,438121.0,438121.0,2190605.0,,45.6966681,9.6758147
IT-955,IT-A-780,EDISON S.p.A.,ALTOMONTE,"FORO BUONAPARTE, 31 - 20100 - MILANO (MI)",1413159.0,1342501.0,1285975.0,1215317.0,1158791.0,6415743.0,,45.4675304,9.1787643
IT-527,IT-A-781,ITALCEMENTI S.P.A.,CEMENTERIA DI CASTROVILLARI,"CAMOZZI, 124 - 24100 - BERGAMO (BG)",465189.0,465189.0,465189.0,465189.0,465189.0,2325945.0,,45.6966681,9.6758147
IT-528,IT-A-784,ECOSESTO S.P.A.,Impianto a biomasse per la produzione di energia elettrica,"Alberto Falck, 4-16 - 20099 - SESTO SAN GIOVANNI (MI)",1272.0,1272.0,1272.0,1272.0,1272.0,6360.0,,45.5362555,9.2470549
IT-529,IT-A-785,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI ROSSANO,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",1651968.0,1510603.0,1366386.0,1262298.0,1142933.0,6934188.0,,41.919087,12.4988884
IT-530,IT-A-786,Snam Rete Gas S.p.A.,Centrale di compressione gas di Tarsia,"S. Barbara, 7 - 20097 - SAN DONATO MILANESE (MI)",38145.0,38145.0,38145.0,38145.0,38145.0,190725.0,,45.4232896,9.2615326
IT-531,IT-A-789,CAL.ME. S.P.A.,CALMECEMENTI,"CADUTI SUL LAVORO, 9 - 88100 - CATANZARO (CZ)",79286.0,79286.0,79286.0,79286.0,79286.0,396430.0,,38.8299603,16.4315569
IT-532,IT-A-793,O-I MANUFACTURING ITALY S.P.A.,STABILIMENTO DI MARSALA (TP),"Via Washington, 70 - 20146 - MILANO (MI)",30401.0,30401.0,30401.0,30401.0,30401.0,152005.0,,45.4601178,9.1545952
IT-533,IT-A-794,SNAM RETE GAS SPA,Terminale entry point di Mazara del Vallo,"S. BARBARA, 7 - 20097 - SAN DONATO MILANESE (MI)",2219.0,2219.0,2219.0,2219.0,2219.0,11095.0,,45.4232896,9.2615326
IT-534,IT-A-795,S.MED.E. PANTELLERIA S.P.A.,CENTRALE ELETTRICA,"VIALE STRASBURGO, 189 - 90100 - PALERMO (PA)",23976.0,14386.0,7193.0,4795.0,2398.0,52748.0,,38.1546453,13.3286869
IT-535,IT-A-796,E.ON Produzione S.p.A.,Centrale Turbogas di Trapani,"Via Mangili, 9 - 00100 - ROMA (RM)",43220.0,40627.0,37601.0,35008.0,31983.0,188439.0,,41.9192979,12.4822574
IT-536,IT-A-797,ITALCEMENTI S.P.A.,CEMENTERIA DI ISOLA DELLE FEMMINE,"CAMOZZI, 124 - 24100 - BERGAMO (BG)",521227.0,521227.0,521227.0,521227.0,521227.0,2606135.0,,45.6966681,9.6758147
IT-537,IT-A-798,Fenice S.p.A.,Centrale termica,"Acqui, 86 - 10098 - RIVOLI (TO)",16763.0,16763.0,16763.0,16763.0,16763.0,83815.0,,45.06616,7.5611447
IT-538,IT-A-799,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI TERMINI IMERESE,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",1577445.0,1397670.0,1245410.0,1146728.0,1048530.0,6415783.0,,41.919087,12.4988884
IT-539,IT-A-800,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI VULCANO,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",5249.0,3149.0,1575.0,1050.0,525.0,11548.0,,41.919087,12.4988884
IT-540,IT-A-801,Snam Rete Gas S.p.A,Centrale di compressione gas di Messina,"S. Barbara, 7 - 20097 - SAN DONATO MILANESE (MI)",125416.0,125416.0,125416.0,125416.0,125416.0,627080.0,,45.4232896,9.2615326
IT-541,IT-A-802,Raffineria di Milazzo S.C.p.A.,Raffineria di Milazzo,"Contrada Mangiavacca, 1 - 98057 - MILAZZO (ME)",1528028.0,1528028.0,1528028.0,1528028.0,1528028.0,7640140.0,,38.2208049,15.2415129
IT-542,IT-A-803,TERMICA MILAZZO SRL,MILAZZO,"FORO BUONAPARTE, 31 - 20100 - MILANO (MI)",136490.0,136490.0,136490.0,136490.0,136490.0,682450.0,,45.4675304,9.1787643
IT-543,IT-A-804,EDIPOWER SPA,CENTRALE TERMOELETTRICA DI SAN FILIPPO DEL MELA,"FORO BUONAPARTE, 31 - 20100 - MILANO (MI)",3019107.0,1811464.0,905732.0,603821.0,301911.0,6642035.0,,45.4675304,9.1787643
IT-544,IT-A-805,S.EL.I.S. LAMPEDUSA S.P.A.,CENTRALE ELETTRICA,"VIALE STRASBURGO, 189 - 90100 - PALERMO (PA)",18573.0,11144.0,5572.0,3715.0,1857.0,40861.0,,38.1546453,13.3286869
IT-545,IT-A-806,ITALCEMENTI S.P.A.,CEMENTERIA DI PORTO EMPEDOCLE,"CAMOZZI, 124 - 24100 - BERGAMO (BG)",511539.0,511539.0,511539.0,511539.0,511539.0,2557695.0,,45.6966681,9.6758147
